id:110571331, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:110571357, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:110571373, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:110571390, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:110571411, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:110582216, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:110582259, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:110583235, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110583251, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110583278, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110589215, acertos:35, precisao:0.972222, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:110595578, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110595594, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110595615, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110595631, acertos:37, precisao:0.973684, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110595658, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110595674, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:110595691, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:110617351, acertos:36, precisao:1.000000, revocacao:1.027778, len attr1(xpath):36, len attr2(gab):37
id:110703903, acertos:41, precisao:1.000000, revocacao:1.000000, len attr1(xpath):41, len attr2(gab):41
id:110703920, acertos:40, precisao:1.000000, revocacao:1.000000, len attr1(xpath):40, len attr2(gab):40
id:110703946, acertos:40, precisao:1.000000, revocacao:1.000000, len attr1(xpath):40, len attr2(gab):40
id:110739252, acertos:42, precisao:1.000000, revocacao:1.000000, len attr1(xpath):42, len attr2(gab):42
id:110739295, acertos:42, precisao:1.000000, revocacao:1.000000, len attr1(xpath):42, len attr2(gab):42
id:110776707, acertos:34, precisao:0.944444, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:110778260, acertos:33, precisao:0.916667, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:110785216, acertos:34, precisao:0.944444, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:110822646, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:110830515, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:110830531, acertos:40, precisao:1.000000, revocacao:1.000000, len attr1(xpath):40, len attr2(gab):40
id:110830558, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:110919211, acertos:34, precisao:0.971429, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111042879, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:111172251, acertos:39, precisao:1.000000, revocacao:1.000000, len attr1(xpath):39, len attr2(gab):39
id:111183452, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:111235494, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111244358, acertos:40, precisao:1.000000, revocacao:1.000000, len attr1(xpath):40, len attr2(gab):40
id:111304779, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111307128, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:111307144, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:111307161, acertos:38, precisao:1.000000, revocacao:1.000000, len attr1(xpath):38, len attr2(gab):38
id:111343612, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:111350257, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111350273, acertos:35, precisao:1.000000, revocacao:1.000000, len attr1(xpath):35, len attr2(gab):35
id:111350290, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:111367235, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:111367286, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:111367307, acertos:37, precisao:1.000000, revocacao:1.000000, len attr1(xpath):37, len attr2(gab):37
id:111371971, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:111375243, acertos:36, precisao:1.000000, revocacao:1.000000, len attr1(xpath):36, len attr2(gab):36
id:111411953, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:111411970, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
id:111411996, acertos:34, precisao:1.000000, revocacao:1.000000, len attr1(xpath):34, len attr2(gab):34
